 ID,DATA E HORA,TQ SUSPENSÃO,VEL_1_RPM, VEL_5_RPM,COZEDOR, TEMP AMOSTRA C°,ASPECTO
794,7/17/2023 2:30:00 PM,Tanque 1002,130000,39360,Therlet 4,26,OK
795,7/17/2023 2:33:00 PM,Tanque 1002,134800,38480,Therlet 4,26,OK
798,7/17/2023 4:33:00 PM,Tanque 1001,117600,37120,Therlet 4,25,OK
802,7/17/2023 6:31:00 PM,Tanque 1001,128400,38440,Therlet 4,26,OK
806,7/17/2023 8:30:00 PM,Tanque 1002,138800,40800,Therlet 4,25,OK
810,7/17/2023 10:30:00 PM,Tanque 1001,138000,38880,Therlet 4,25,OK
815,7/18/2023 12:30:00 AM,Tanque 1001,152400,43040,Therlet 4,25,OK
825,7/18/2023 8:30:00 AM,Tanque 1001,129120,40960,Therlet 4,24,OK
829,7/18/2023 10:25:00 AM,Tanque 1003,130000,36020,Therlet 4,22,OK
831,7/18/2023 11:30:00 AM,Tanque 1001,145000,39450,Therlet 4,26,OK
835,7/18/2023 1:30:00 PM,Tanque 1003,136000,37000,Therlet 4,22,OK
836,7/18/2023 2:30:00 PM,Tanque 1002,124000,35760,Therlet 4,25,OK
842,7/18/2023 5:27:00 PM,Tanque 1002,136000,38800,Therlet 4,23,OK
844,7/18/2023 6:30:00 PM,Tanque 1003,142800,38800,Therlet 4,23,OK
848,7/18/2023 8:31:00 PM,Tanque 1001,139200,41040,Therlet 4,29,OK
851,7/18/2023 9:35:00 PM,Tanque 1001,132000,37360,Therlet 4,29,OK
853,7/18/2023 10:30:00 PM,Tanque 1002,146000,41920,Therlet 4,21,OK
866,7/19/2023 8:30:00 AM,Tanque 1001,114090,38220,Therlet 4,23,OK
870,7/19/2023 10:30:00 AM,Tanque 1003,119000,34180,Therlet 4,22,OK
875,7/19/2023 2:31:00 PM,Tanque 1002,144000,40560,Therlet 4,25,OK
882,7/19/2023 6:37:00 PM,Tanque 1001,137600,40720,Therlet 4,23,OK
886,7/19/2023 8:33:00 PM,Tanque 1002,150800,43200,Therlet 4,23,OK
888,7/19/2023 9:34:00 PM,Tanque 1001,140120,41680,Therlet 4,23,OK
893,7/20/2023 12:30:00 AM,Tanque 1002,136800,39920,Therlet 4,24,OK
899,7/20/2023 3:30:00 AM,Tanque 1003,125200,36800,Therlet 4,24,OK
900,7/20/2023 4:30:00 AM,Tanque 1001,124800,36000,Therlet 4,24,OK
901,7/20/2023 5:30:00 AM,Tanque 1001,126800,37520,Therlet 4,24,OK
904,7/20/2023 6:30:00 AM,Tanque 1002,130400,37250,Therlet 4,24,OK
905,7/20/2023 7:30:00 AM,Tanque 1003,125500,38140,Therlet 4,25,OK
912,7/20/2023 9:30:00 AM,Tanque 1002,132150,37500,Therlet 4,24,OK
910,7/20/2023 11:30:00 AM,Tanque 1001,127700,37400,Therlet 4,23,OK
916,7/20/2023 12:30:00 PM,Tanque 1001,129000,33040,Therlet 4,21,OK
918,7/20/2023 1:30:00 PM,Tanque 1002,138450,39000,Therlet 4,23,OK
922,7/20/2023 3:33:00 PM,Tanque 1003,136800,38240,Therlet 4,25,OK
925,7/20/2023 5:30:00 PM,Tanque 1002,150400,40240,Therlet 4,24,OK
930,7/20/2023 7:31:00 PM,Tanque 1003,130800,37040,Therlet 4,25,OK
933,7/20/2023 9:33:00 PM,Tanque 1003,152400,43920,Therlet 4,25,OK
939,7/21/2023 1:30:00 AM,Tanque 1002,146400,43440,Therlet 4,23,OK
942,7/21/2023 4:30:00 AM,Tanque 1002,145200,42640,Therlet 4,23,OK
946,7/21/2023 7:30:00 AM,Tanque 1003,132400,38640,Therlet 4,23,OK
950,7/21/2023 9:31:00 AM,Tanque 1002,135600,38800,Therlet 4,24,OK
954,7/21/2023 11:31:00 AM,Tanque 1001,137300,38660,Therlet 4,24,OK
958,7/21/2023 1:30:00 PM,Tanque 1003,133300,39500,Therlet 4,25,OK
959,7/21/2023 2:30:00 PM,Tanque 1001,133000,39800,Therlet 4,26,OK
962,7/21/2023 5:30:00 PM,Tanque 1003,141600,43040,Therlet 4,24,OK
968,7/21/2023 10:31:00 PM,Tanque 1002,151200,44100,Therlet 4,22,OK
972,7/22/2023 12:31:00 AM,Tanque 1001,138800,44000,Therlet 4,22,OK
1005,7/23/2023 12:36:00 PM,Tanque 1003,127700,38400,Therlet 4,24,OK
1009,7/23/2023 2:33:00 PM,Tanque 1002,145600,42240,Therlet 4,28,OK
1011,7/23/2023 3:33:00 PM,Tanque 1002,151600,42960,Therlet 4,25,OK
1013,7/23/2023 4:33:00 PM,Tanque 1003,147200,44420,Therlet 4,23,OK
1017,7/23/2023 6:33:00 PM,Tanque 1002,131200,36480,Therlet 4,28,OK
